"","Location","Date","Season","pH","conductance"
"1","BIGC","Jun-18","Summer",7.23263716,116906.87205
"2","BIGC","Sep-18","Fall",7.261140421,245.9915514
"3","BLDE","2018-09","Fall",8.02396097188495,111.768214189829
"4","BLDE","2019-04","Spring",7.88919101556063,92.7990008956575
"5","BLDE","2019-08","Summer",7.9576921029856,100.988278396956
"6","BLDE","2019-09","Fall",7.90412463584622,107.164611902568
"7","CARI","Jul-18","Summer",4.83821407,275.987616025
"8","CARI","Jul-19","Summer",7.3395,96.264426285
"9","CARI","Sep-18","Fall",-4.060173584,62.804873025
"10","COMO","2017-09","Fall",7.02032842686977,33.6060470925368
"11","COMO","2018-03","Spring",6.56843711100738,38.9480802682343
"12","COMO","2018-06","Summer",6.30975118485111,16.2320392404784
"13","COMO","2018-09","Fall",7.01901527953422,36.0948322240723
"14","COMO","2019-03","Spring",7.06812844522159,37.3262277805824
"15","COMO","2019-06","Summer",6.58086966126436,13.697867936641
"16","COMO","2019-09","Fall",7.28898991752691,33.7054689073248
"17","KING","2017-09","Fall",7.53228448275862,156.588092324805
"18","KING","2019-04","Spring",7.9867434883846,604.069730201026
"19","KING","2019-10","Fall",7.58611961448615,644.429174258868
"20","LECO","2017-05","Spring",6.42248170486337,17.5847691670912
"21","LECO","2018-03","Spring",6.45140081258126,25.1013195546868
"22","LECO","2018-06","Summer",30.4616541366062,19.1080467350793
"23","LECO","2019-03","Spring",6.69986143550126,16.9708560905498
"24","LECO","2019-06","Summer",6.72307692307692,19.1063661761967
"25","LECO","2019-09","Fall",6.7262794634167,23.2008349202319
"26","MART","Jun-18","Summer",7.194921947,18.8106852815
"27","MART","Jun-19","Summer",7.241160658,37.287007205
"28","MART","Mar-18","Spring",7.069898251,30.25626405
"29","MART","Mar-19","Spring",6.992072145,32.58462399
"30","MART","Sep-18","Fall",6.970962218,37.50787037
"31","MART","Sep-19","Fall",7.128616384,40.327497135
"32","MAYF","2017-03","Spring",5.6443081143254,14.7783489115249
"33","MAYF","2017-09","Fall",5.67422566920474,13.1670588352414
"34","MAYF","2018-03","Spring",5.51010666592248,12.3792414572506
"35","MAYF","2018-06","Summer",5.42909683858016,12.3426195496678
"36","MAYF","2018-09","Fall",5.67159589868969,13.2672379629817
"37","MAYF","2019-03","Spring",5.52919701440635,15.247397812571
"38","MAYF","2019-06","Summer",5.69319294171599,12.3709254573509
"39","MAYF","2019-09","Fall",5.74481581389079,12.5763077507052
"40","MCDI","2018-03","Spring",7.87516617812758,593.696097615492
"41","MCDI","2018-06","Summer",11.776660821895,428.129955751304
"42","MCDI","2018-10","Fall",7.75613764044944,468.619857209738
"43","MCDI","2019-03","Spring",8.03511172315238,473.168273934181
"44","MCDI","2019-08","Summer",7.8453246328913,433.182200819468
"45","MCDI","2019-09","Fall",7.82808768161912,485.931606117015
"46","MCRA","Jun-18","Summer",7.160939557,23.56074189
"47","MCRA","Jun-19","Summer",7.194327997,23.54918487
"48","MCRA","Mar-18","Spring",7.1383405995,21.708451045
"49","MCRA","Mar-19","Spring",7.30601006,23.47766844
"50","MCRA","Nov-17","Fall",6.9144991105,20.525738665
"51","MCRA","Sep-18","Fall",7.2459275545,28.73392844
"52","MCRA","Sep-19","Fall",7.1413098125,27.118033745
"53","POSE","2017-09","Fall",7.59608333333333,70.64575
"54","POSE","2018-03","Spring",7.53476822326243,101.133170404868
"55","POSE","2018-06","Summer",7.23688573548002,96.9379221250461
"56","POSE","2018-09","Fall",7.60442987841686,108.261423550321
"57","POSE","2019-03","Spring",7.52316448993953,92.3972607578
"58","POSE","2019-06","Summer",7.6300230230794,80.9752473576061
"59","POSE","2019-09","Fall",7.77058388551223,83.1214734993211
"60","PRIN","2017-09","Fall",7.49964960695768,120983.732731226
"61","PRIN","2018-03","Spring",-0.82181319630254,889.92206566961
"62","PRIN","2018-06","Summer",7.45902358456419,489.809547268798
"63","PRIN","2018-09","Fall",7.77901075778498,1066.01915083897
"64","PRIN","2019-03","Spring",7.93232795877639,804.100220353704
"65","PRIN","2019-06","Summer",7.85702368108653,839.523696225466
"66","PRIN","2019-09","Fall",7.69255080986618,812.649166447142
"67","REDB","Apr-19","Spring",8.4539626445,290.28539915
"68","REDB","Jul-18","Summer",8.296362476,922.7172318
"69","REDB","Jun-19","Summer",8.0630461425,532.7675276
"70","REDB","Sep-18","Fall",8.2370461075,657.69377835
"71","REDB","Sep-19","Fall",8.4507669735,605.7120505
"72","SYCA","Jun-19","Summer",7.4001573655,496.4224719
"73","SYCA","Mar-19","Spring",-98.84363025,224.25100045
"74","SYCA","Sep-19","Fall",7.178957071,511.11319165
"75","TECR","Oct-19","Fall",7.4103862665,30.97858633
"76","WLOU","Apr-18","Spring",7.981215241,115.4263115
"77","WLOU","Jun-18","Summer",7.893832056,73.615527735
"78","WLOU","Oct-18","Fall",7.5256261285,109.50186525
"79","WLOU","Oct-19","Fall",7.762781352,32.1117512745
