"","Location","Date","Latitude","Longitude","Season","CollectionMethod","pH","specificConductance","X1"
"1","POSE","2017-09.01",38.89519,-78.14786,"Fall","YSI.EXO",7.59608333333333,70.64575,NA
"2","POSE","2018-03.01",38.8944,-78.14729,"Spring","YSI.EXO",7.57408193589471,98.9164676053681,NA
"3","POSE","2018-03.02",38.89519,-78.14786,"Spring","YSI.EXO",7.49545451063015,103.349873204367,NA
"4","POSE","2018-06.01",38.8944,-78.14729,"Summer","YSI.EXO",6.99519249753208,92.6791189536032,NA
"5","POSE","2018-06.02",38.89519,-78.14786,"Summer","YSI.EXO",7.47857897342796,101.196725296489,NA
"6","POSE","2018-09.01",38.8944,-78.14729,"Fall","YSI.EXO",7.56157148017997,103.113654964038,NA
"7","POSE","2018-09.02",38.89519,-78.14786,"Fall","YSI.EXO",7.64728827665375,113.409192136605,NA
"8","POSE","2019-03.01",38.8944,-78.14729,"Spring","YSI.EXO",7.51175857758022,92.7300847339908,NA
"9","POSE","2019-03.02",38.89519,-78.14786,"Spring","YSI.EXO",7.53457040229885,92.0644367816092,NA
"10","POSE","2019-06.01",38.8944,-78.14729,"Summer","YSI.EXO",7.65524665363213,37.6399751842382,NA
"11","POSE","2019-06.02",38.89519,-78.14786,"Summer","YSI.EXO",7.60479939252667,124.310519530974,NA
"12","POSE","2019-09.01",38.8944,-78.14729,"Fall","YSI.EXO",7.86456695684821,12.5268533683741,NA
"13","POSE","2019-09.02",38.89519,-78.14786,"Fall","YSI.EXO",7.67660081417625,153.716093630268,NA
"14","KING","2017-09.01",39.104761,-96.602339,"Fall","YSI.EXO",7.53228448275862,156.588092324805,NA
"15","KING","2019-04.01",39.104761,-96.602339,"Spring","YSI.EXO",8.00548851746161,605.147538614848,NA
"16","KING","2019-04.02",39.105069,-96.603387,"Spring","YSI.EXO",7.96799845930759,602.991921787203,NA
"17","KING","2019-10.01",39.104761,-96.602339,"Fall","YSI.EXO",7.61627127520293,648.147543859649,NA
"18","KING","2019-10.02",39.105069,-96.603387,"Fall","YSI.EXO",7.55596795376937,640.710804658086,NA
"19","MCDI","2018-03.01",38.947228,-96.443842,"Spring","YSI.EXO",8.20740991042068,579.186978342216,NA
"20","MCDI","2018-03.02",38.946553,-96.442948,"Spring","YSI.EXO",7.54292244583447,608.205216888768,NA
"21","MCDI","2018-06.01",38.947228,-96.443842,"Summer","YSI.EXO",16.2820969538159,247.397748444153,NA
"22","MCDI","2018-06.02",38.946553,-96.442948,"Summer","YSI.EXO",7.27122468997408,608.862163058455,NA
"23","MCDI","2018-10",38.947228,-96.443842,"Fall","YSI.EXO",7.75613764044944,468.619857209738,NA
"24","MCDI","2019-03.01",38.947228,-96.443842,"Spring","YSI.EXO",7.98479469861814,482.218479950264,NA
"25","MCDI","2019-03.02",38.946553,-96.442948,"Spring","YSI.EXO",8.08542874768661,464.118067918099,NA
"26","MCDI","2019-08.01",38.947228,-96.443842,"Summer","YSI.EXO",7.96141901931649,421.490202880329,NA
"27","MCDI","2019-08.02",38.946553,-96.442948,"Summer","YSI.EXO",7.72923024646611,444.874198758608,NA
"28","MCDI","2019-09.01",38.947228,-96.443842,"Fall","YSI.EXO",7.95695255277897,482.636539207238,NA
"29","MCDI","2019-09.02",38.946553,-96.442948,"Fall","YSI.EXO",7.69922281045927,489.226673026793,NA
"30","LECO","2017-05.01",35.689128,-83.503356,"Spring","YSI.EXO",6.37242222163879,17.48703352674,NA
"31","LECO","2017-05.02",35.692201,-83.504427,"Spring","YSI.EXO",6.47254118808794,17.6825048074424,NA
"32","LECO","2018-03.01",35.689128,-83.503356,"Spring","YSI.EXO",6.36300523019596,24.5378650474758,NA
