siteID,decimalLatitude,decimalLongitude,aquaticSiteType
POSE,38.894310,-78.147258,stream
KING,39.105061,-96.603829,stream
MCDI,38.945861,-96.443022,stream
LECO,35.690428,-83.503790,stream
WALK,35.957378,-84.279251,stream
MAYF,32.960365,-87.407688,stream
PRIN,33.378517,-97.782312,stream
BLDE,44.950110,-110.587150,stream
COMO,40.034962,-105.544164,stream
WLOU,39.891366,-105.915395,stream
SYCA,33.750993,-111.508091,stream
REDB,40.783934,-111.797887,stream
MART,45.790835,-121.933788,stream
MCRA,44.259598,-122.165554,stream
BIGC,37.059719,-119.257549,stream
TECR,36.955931,-119.027363,stream
OKSR,68.669753,-149.143018,stream
CARI,65.153224,-147.503973,stream
HOPB,42.471941,-72.329526,stream
LEWI,39.095637,-77.983216,stream
BARC,29.677784,-82.007670,lake
BARC,29.677477,-82.007714,lake
BARC,29.674748,-82.008404,lake
BARC,29.676118,-82.006564,lake
BARC,29.675982,-82.008414,lake
BARC,29.676597,-82.009967,lake
BARC,29.674953,-82.009818,lake
BARC,29.674476,-82.007454,lake
BARC,29.677686,-82.008911,lake
BARC,29.675164,-82.006743,lake
BARC,29.674507,-82.008596,lake
BARC,29.675584,-82.010729,lake
BARC,29.677034,-82.006975,lake
FLNT,NA,NA,river
FLNT,31.187345,-84.436243,river
FLNT,31.184072,-84.439567,river
FLNT,31.184609,-84.438438,river
FLNT,31.185424,-84.437403,river
FLNT,31.189210,-84.434636,river
FLNT,31.185744,-84.437733,river
FLNT,31.182647,-84.441580,river
SUGG,29.686477,-82.014568,lake
SUGG,29.687601,-82.020598,lake
SUGG,29.689972,-82.015337,lake
SUGG,29.684758,-82.018516,lake
SUGG,29.687067,-82.020473,lake
SUGG,29.690380,-82.019605,lake
SUGG,29.685093,-82.018412,lake
SUGG,29.688149,-82.017318,lake
SUGG,29.685231,-82.020373,lake
SUGG,29.688129,-82.014426,lake
SUGG,29.688825,-82.020784,lake
SUGG,29.690679,-82.017404,lake
SUGG,29.685435,-82.016359,lake
CUPE,18.113520,-66.986760,stream
GUIL,18.174060,-66.798680,stream
CRAM,46.210592,-89.476861,lake
CRAM,46.207952,-89.476174,lake
CRAM,46.209167,-89.477353,lake
CRAM,46.211930,-89.475007,lake
CRAM,46.205971,-89.472702,lake
CRAM,46.211998,-89.474475,lake
CRAM,46.209007,-89.472853,lake
CRAM,46.209689,-89.468752,lake
CRAM,46.211728,-89.470910,lake
CRAM,46.208228,-89.471270,lake
CRAM,46.206543,-89.476401,lake
CRAM,46.211208,-89.478274,lake
CRAM,46.207433,-89.475220,lake
LIRO,45.998322,-89.704766,lake
LIRO,46.000596,-89.704067,lake
LIRO,45.998977,-89.706329,lake
LIRO,45.994754,-89.706463,lake
LIRO,45.995229,-89.706476,lake
LIRO,45.997032,-89.700316,lake
LIRO,45.994889,-89.701365,lake
LIRO,45.998970,-89.702490,lake
LIRO,45.996377,-89.704103,lake
LIRO,45.995340,-89.698224,lake
LIRO,45.995426,-89.704281,lake
LIRO,46.000768,-89.704041,lake
LIRO,45.997072,-89.705716,lake
